Outlet Code,Outlet Name,Sap No,Freezer Model,SCAN Location Latitude,SCAN Location Longitude
HUL-I133832P1960-P1960,SWAD PURE VEG RESTAURANT,400100384281,W425G - WESTERN 425L GLASSTOP,18.9727165,73.0267457
HUL-I133959P1010-P1010,METRO SWEETS AND DRY FRUITS,400100226613,W325G - WESTERN 325L GLASSTOP,19.0865627,72.9128342
HUL-133689P3510-P3510,Gala Stores,400100390026,W225G - WESTERN 225L GLASSTOP,19.0825091,72.8504894
HUL-I10A451P9988-P9988,Mahalaxmi Dairy Vakola,400100386337,W525G - WESTERN 525L GLASSTOP,19.0790593,72.8499551
HUL-I134897P5341-P5341,MAHALAXMI GRAIN STORE,30099944,W325G - WESTERN 325L GLASSTOP,19.0533854,72.8780396
HUL-133060P4249-P140,KARAN EMPORIUM (GHAT-E),400100151175,VT3 - NUCAB 400L GLASSTOP,19.0734262,72.9086107
HUL-I134897P4854-P4854,SHRI RAJARAM GENERAL STORE,400100153167,VT3 - NUCAB 400L GLASSTOP,19.0533838,72.8758506
HUL-133060614-614,SANTHOSH LUNCH HOME-SANTACRUZ E,400100324852,W525G - WESTERN 525L GLASSTOP,19.0818224,72.8559458
HUL-I134714P1008-P1008,ANAND DAIRY,30082288,W425G - WESTERN 425L GLASSTOP,19.0528925,72.8746087
HUL-I134490P1119-P1119,VINI SUPER MARKET (VLP-W),400100333216,W325G - WESTERN 325L GLASSTOP,19.102963,72.8338164
HUL-133060P4213-P87,BHARAT STORE (CHUNABHATTI),400100042572,VT2 - NUCAB 300L GLASSTOP,19.0530601,72.8702276
HUL-133060P4680-P4680,BIPIN PROVISION STORES,400100149856,VT3 - NUCAB 400L GLASSTOP,19.0806567,72.8565106
HUL-1330601259-P1,HIGH LIGHT BAKERY STORES (CHUNABHATTI),30114268,W325G - WESTERN 325L GLASSTOP,19.0532286,72.8700435
HUL-I134490P2143-P2143,SHRADHA NOVELTY & GENERAL STORES (VLP-W),30096137,W325G - WESTERN 325L GLASSTOP,19.1028689,72.8338007
HUL-I10A451P9507-P9507,Shree Durga Chemist &General Store,400100284604,W325G - WESTERN 325L GLASSTOP,19.0797321,72.8572023
